,,,,,,,,
,,,,,,,,
,Case ID,"Background
Match",Model A,Model B,,,,
,2,YES,1.000,0.988,,,Model A,Model B
,3,YES,1.000,0.985,,FAR,?,?
,4,YES,1.000,0.995,,FRR,?,?
,5,YES,1.000,0.953,,,,
,6,YES,1.000,0.996,,,,
,7,NO,1.000,0.991,,,,
,8,YES,1.000,0.987,,,,
,9,YES,1.000,0.991,,,,
,10,YES,1.000,0.995,,,,
,11,NO,0.912,0.544,,,,
,12,NO,0.903,0.360,,,,
,13,NO,0.905,0.416,,,,
,14,YES,0.988,0.938,,,,
,15,NO,0.916,0.495,,,,
,16,NO,0.903,0.401,,,,
,17,NO,0.906,0.589,,,,
,18,YES,0.987,0.934,,,,
,19,NO,0.905,0.438,,,,
,20,NO,0.902,0.461,,,,
,21,NO,0.910,0.397,,,,
,22,NO,0.906,0.523,,,,
,23,NO,0.907,0.313,,,,
,24,NO,0.903,0.392,,,,
,25,NO,0.904,0.476,,,,
,26,NO,0.905,0.318,,,,
,27,NO,0.912,0.458,,,,
,28,NO,0.902,0.449,,,,
,29,NO,0.906,0.368,,,,
,30,NO,0.906,0.616,,,,
,31,YES,1.000,0.984,,,,
,32,NO,0.909,0.402,,,,
,33,YES,0.998,0.980,,,,
,34,NO,0.905,0.498,,,,
,35,NO,0.914,0.411,,,,
,36,NO,0.903,0.374,,,,
,37,YES,0.991,0.882,,,,
,38,YES,0.983,0.896,,,,
,39,NO,0.903,0.397,,,,
,40,NO,0.912,0.466,,,,
,42,NO,0.999,0.972,,,,
,43,NO,0.999,0.972,,,,
,44,NO,0.999,0.968,,,,
,45,NO,0.998,0.970,,,,
,46,NO,0.998,0.973,,,,
,47,NO,0.998,0.973,,,,
,48,NO,0.998,0.971,,,,
,49,NO,0.998,0.977,,,,
,50,NO,0.998,0.969,,,,
,51,NO,0.898,0.594,,,,
,52,NO,0.912,0.397,,,,
,53,NO,0.898,0.651,,,,
,54,NO,0.898,0.559,,,,
,55,NO,0.902,0.535,,,,
,56,NO,0.911,0.481,,,,
,57,NO,0.900,0.616,,,,
,58,NO,0.903,0.437,,,,
,59,NO,0.898,0.534,,,,
,60,NO,0.901,0.545,,,,
,61,NO,0.898,0.447,,,,
,62,NO,0.904,0.664,,,,
,63,NO,0.899,0.530,,,,
,64,NO,0.907,0.197,,,,
,65,NO,0.900,0.584,,,,
,66,NO,0.902,0.395,,,,
,67,NO,0.899,0.681,,,,
,68,NO,0.902,0.707,,,,
,69,NO,0.899,0.642,,,,
,70,NO,0.936,0.892,,,,
,71,NO,0.898,0.642,,,,
,72,NO,0.911,0.310,,,,
,73,NO,0.897,0.392,,,,
,74,NO,0.902,0.677,,,,
,75,NO,0.899,0.547,,,,
,76,NO,0.905,0.565,,,,
,77,NO,0.906,0.620,,,,
,78,NO,0.898,0.678,,,,
,79,NO,0.992,0.869,,,,
,80,NO,0.904,0.622,,,,
,82,YES,0.999,0.980,,,,
,83,YES,0.999,0.990,,,,
,84,YES,0.999,0.990,,,,
,85,NO,0.998,0.988,,,,
,86,YES,0.998,0.983,,,,
,87,YES,0.997,0.970,,,,
,88,YES,0.996,0.929,,,,
,89,YES,0.996,0.771,,,,
,90,YES,0.996,0.926,,,,
,91,NO,0.907,0.434,,,,
,92,NO,0.907,0.572,,,,
,93,NO,0.911,0.506,,,,
,94,NO,0.909,0.575,,,,
,95,YES,0.979,0.867,,,,
,96,NO,0.909,0.380,,,,
,97,NO,0.907,0.502,,,,
,98,NO,0.916,0.321,,,,
,99,NO,0.908,0.373,,,,
,100,NO,0.906,0.358,,,,
,101,NO,0.906,0.447,,,,
,102,NO,0.922,0.405,,,,
,103,NO,0.908,0.486,,,,
,104,NO,0.913,0.451,,,,
,105,YES,0.978,0.887,,,,
,106,NO,0.906,0.374,,,,
,107,NO,0.908,0.460,,,,
,108,NO,0.918,0.434,,,,
,109,NO,0.908,0.508,,,,
,110,NO,0.912,0.486,,,,
,111,NO,0.907,0.419,,,,
,112,NO,0.914,0.512,,,,
,113,NO,0.910,0.426,,,,
,114,NO,0.908,0.427,,,,
,115,NO,0.906,0.432,,,,
,116,NO,0.907,0.524,,,,
,117,YES,0.959,0.765,,,,
,118,NO,0.908,0.327,,,,
,119,NO,0.907,0.352,,,,
,120,NO,0.908,0.471,,,,
,131,NO,0.910,0.436,,,,
,132,NO,0.927,0.489,,,,
,133,NO,0.930,0.550,,,,
,134,YES,0.999,0.993,,,,
,135,NO,0.907,0.476,,,,
,136,YES,0.980,0.907,,,,
,137,NO,0.910,0.466,,,,
,138,NO,0.904,0.430,,,,
,139,NO,1.000,0.971,,,,
,140,YES,1.000,0.971,,,,
,141,YES,0.995,0.944,,,,
,142,NO,0.905,0.418,,,,
,143,NO,0.942,0.398,,,,
,145,NO,0.906,0.716,,,,
,146,NO,0.910,0.375,,,,
,147,NO,0.923,0.469,,,,
,148,NO,0.902,0.492,,,,
,149,NO,0.947,0.420,,,,
,150,NO,0.999,0.989,,,,
,151,YES,0.999,0.987,,,,
,152,NO,0.909,0.425,,,,
,153,NO,0.911,0.484,,,,
,155,NO,0.906,0.412,,,,
,157,YES,0.999,0.985,,,,
,158,NO,0.939,0.489,,,,
,159,NO,1.000,0.991,,,,
,160,NO,0.905,0.422,,,,
,162,YES,1.000,0.983,,,,
,163,YES,1.000,0.978,,,,
,164,YES,1.000,0.985,,,,
,165,YES,1.000,0.991,,,,
,166,YES,1.000,0.992,,,,
,167,YES,1.000,0.982,,,,
,168,YES,1.000,0.989,,,,
,169,YES,1.000,0.987,,,,
,170,YES,1.000,0.986,,,,
,171,NO,0.902,0.323,,,,
,172,YES,0.993,0.967,,,,
,173,NO,0.903,0.368,,,,
,174,NO,0.913,0.268,,,,
,175,NO,0.904,0.398,,,,
,176,YES,0.985,0.866,,,,
,177,NO,0.902,0.425,,,,
,178,NO,0.912,0.418,,,,
,179,NO,0.909,0.342,,,,
