case_no,facenet_score,arcface_score,lvface_score,facenet_pred,arcface_pred,lvface_pred
1,0.6255,0.4411,0.6078,1,0,1
2,0.6064,0.4917,-0.1087,1,0,0
3,0.6899,0.5043,0.1383,1,0,0
4,0.8103,0.7602,-0.0782,1,1,0
5,0.4758,0.5168,0.0430,0,0,0
6,0.7867,0.6042,0.0576,1,1,0
7,0.7268,0.5373,0.6546,1,0,1
8,0.6754,0.6190,0.6184,1,1,1
9,0.7163,0.6019,0.7065,1,1,1
10,0.7916,0.5840,0.5280,1,0,1
11,0.9993,0.9978,0.0673,1,1,0
12,0.5410,0.5545,-0.0449,0,0,0
13,0.9990,0.9989,0.0138,1,1,0
14,0.8229,0.8285,0.6502,1,1,1
15,0.9001,0.7794,-0.0653,1,1,0
16,0.4335,0.4396,0.0403,0,0,0
17,0.6172,0.4513,0.5623,1,0,1
18,0.5524,0.4970,-0.0107,0,0,0
19,0.9998,0.9994,0.6519,1,1,1
20,0.9991,0.9988,0.7615,1,1,1
21,0.5697,0.6194,0.0073,0,1,0
22,0.5961,0.5780,0.7662,0,0,1
23,0.9974,0.9986,0.6143,1,1,1
24,0.4918,0.5283,0.0557,0,0,0
25,0.7429,0.5115,0.0342,1,0,0
26,0.7854,0.7678,0.0412,1,1,0
27,0.7745,0.6793,0.6877,1,1,1
28,0.4604,0.4276,-0.0045,0,0,0
29,0.9012,0.8238,0.6370,1,1,1
30,0.8206,0.8082,-0.0216,1,1,0
31,0.9992,0.9993,0.6410,1,1,1
32,0.5870,0.5275,-0.0855,0,0,0
33,0.9990,0.9993,0.6072,1,1,1
34,0.2839,0.3748,0.6277,0,0,1
35,0.7221,0.7381,-0.0303,1,1,0
36,0.9976,0.9988,0.6493,1,1,1
37,0.9959,0.9990,0.6823,1,1,1
38,0.8065,0.6666,-0.0468,1,1,0
39,0.7413,0.6186,0.6656,1,1,1
40,0.5238,0.4870,0.0460,0,0,0
41,0.9993,0.9975,0.0400,1,1,0
42,0.7431,0.7064,0.4362,1,1,1
43,0.6889,0.6207,0.7372,1,1,1
44,0.9996,0.9994,-0.0462,1,1,0
45,0.9976,0.9993,0.0554,1,1,0
46,0.8351,0.6733,0.6820,1,1,1
47,0.9993,0.9990,0.0194,1,1,0
48,0.5594,0.5699,0.0160,0,0,0
49,0.7541,0.6378,0.5408,1,1,1
50,0.9994,0.9993,0.0009,1,1,0
51,-0.1824,-0.0883,-0.0371,0,0,0
52,0.0309,0.0200,-0.0154,0,0,0
53,0.3601,0.0811,0.0730,0,0,0
54,0.1131,0.0669,-0.0136,0,0,0
55,-0.0598,0.0060,0.6223,0,0,1
56,0.2693,0.0953,0.7047,0,0,1
57,0.1423,0.0044,0.0036,0,0,0
58,0.3598,0.2308,0.0333,0,0,0
59,0.0090,0.0668,0.7110,0,0,1
60,0.1780,-0.0915,0.6339,0,0,1
61,-0.0351,0.0288,0.0609,0,0,0
62,0.2272,0.0458,0.7880,0,0,1
63,0.3903,0.1814,0.0733,0,0,0
64,0.1016,-0.1014,0.0234,0,0,0
65,0.0866,-0.0405,0.0785,0,0,0
66,0.1494,0.2332,0.6300,0,0,1
67,-0.0738,0.0525,0.0619,0,0,0
68,0.0866,0.0256,0.6600,0,0,1
69,0.1274,-0.0299,0.6914,0,0,1
70,0.1145,0.0222,-0.0283,0,0,0
71,0.3613,0.1974,0.0138,0,0,0
72,0.2533,0.0100,-0.0704,0,0,0
73,0.0831,0.0013,0.7506,0,0,1
74,-0.1700,-0.0357,0.6943,0,0,1
75,-0.1274,0.3039,0.0297,0,0,0
76,0.2350,0.1827,0.5891,0,0,1
77,0.1006,0.2121,0.0723,0,0,0
78,0.4286,0.0993,0.6994,0,0,1
79,0.3624,0.3183,0.5384,0,0,1
80,0.0535,0.0655,0.0042,0,0,0
81,-0.0077,0.1272,0.6222,0,0,1
82,0.1071,0.1380,0.0836,0,0,0
83,0.0168,-0.0157,-0.0006,0,0,0
84,0.2695,0.2050,-0.0452,0,0,0
85,0.2522,0.1898,0.0433,0,0,0
86,0.1425,0.0743,0.5112,0,0,1
87,-0.0563,0.1128,0.6566,0,0,1
88,0.0502,0.1203,0.0793,0,0,0
89,0.0764,-0.0433,-0.0737,0,0,0
90,0.1279,0.1406,-0.0201,0,0,0
91,0.1522,0.0525,0.4093,0,0,1
92,0.1416,0.0539,0.5979,0,0,1
93,0.0692,0.0743,-0.0907,0,0,0
94,-0.2092,0.2053,0.0363,0,0,0
95,0.0496,0.1895,-0.0171,0,0,0
96,0.0852,-0.0017,0.7377,0,0,1
97,-0.0073,0.1815,0.6572,0,0,1
98,0.0729,0.1131,-0.0432,0,0,0
99,0.0985,0.1879,-0.0181,0,0,0
100,0.0502,0.1943,0.6805,0,0,1
