case_no,facenet_score,arcface_score,lvface_score,facenet_pred,arcface_pred,lvface_pred
1,0.7844,0.5323,0.4878,1,0,1
2,0.7561,0.4401,0.5988,1,0,0
3,0.6682,0.4996,0.5199,1,0,0
4,0.4948,0.5602,0.6211,0,0,0
5,-0.0452,0.0316,0.4808,0,0,0
6,0.8619,0.7032,0.4682,1,1,0
7,0.7968,0.7299,0.5001,1,1,1
8,0.8383,0.7629,0.5886,1,1,1
9,0.4789,0.4209,0.6220,0,0,1
10,0.6968,0.6410,0.6828,1,1,1
11,0.7617,0.6371,0.5322,1,1,0
12,0.7822,0.6335,0.5967,1,1,0
13,0.5202,0.4714,0.5108,0,0,0
14,0.8625,0.6898,0.5052,1,1,1
15,0.9234,0.7349,0.5014,1,1,0
16,0.5226,0.4043,0.5689,0,0,0
17,0.6490,0.4281,0.5574,1,0,1
18,0.8170,0.7549,0.4588,1,1,0
19,0.6244,0.6304,0.5877,1,1,1
20,0.8213,0.2494,0.4069,1,0,1
21,0.5725,0.6016,0.7129,0,1,0
22,0.4428,0.4665,0.7030,0,0,1
23,0.7195,0.4881,0.4429,1,0,1
24,0.6743,0.6220,0.5627,1,1,0
25,0.5573,0.2631,0.5846,0,0,0
26,0.5150,0.3728,0.6627,0,0,0
27,0.5715,0.3844,0.5165,0,0,1
28,0.5254,0.3449,0.6613,0,0,0
29,0.8755,0.7492,0.5885,1,1,1
30,0.6653,0.6229,0.5542,1,1,0
31,0.8297,0.7112,0.5759,1,1,1
32,0.6939,0.5604,0.5788,1,0,0
33,0.8131,0.6171,0.5628,1,1,1
34,0.0784,0.3078,0.4789,0,0,1
35,0.6314,0.4796,0.6383,1,0,0
36,0.6564,0.4045,0.4284,1,0,1
37,0.5730,0.4344,0.5624,0,0,1
38,0.6251,0.3655,0.4207,1,0,0
39,0.7104,0.3969,0.4809,1,0,1
40,0.7361,0.6657,0.3153,1,1,0
41,0.5629,0.4622,0.5083,0,0,0
42,0.5226,0.4443,0.6542,0,0,1
43,0.7976,0.7222,0.5029,1,1,1
44,0.5499,0.4161,0.6179,0,0,0
45,0.7816,0.6351,0.4858,1,1,0
46,0.8370,0.7999,0.4122,1,1,1
47,0.6002,0.5363,0.5392,1,0,0
48,0.6302,0.3727,0.5886,1,0,0
49,0.3622,0.1630,0.6209,0,0,1
50,0.4087,0.2584,0.6089,0,0,0
51,0.0972,0.0981,-0.0831,0,0,0
52,0.1239,0.2259,0.1249,0,0,0
53,-0.0566,0.1168,-0.0533,0,0,0
54,-0.3316,-0.0927,0.0085,0,0,0
55,0.0414,0.2516,0.0232,0,0,1
56,0.0442,0.0831,0.0422,0,0,1
57,0.0347,-0.0050,-0.0061,0,0,0
58,0.0978,0.0441,0.0424,0,0,0
59,0.3333,0.2891,-0.0360,0,0,1
60,0.1499,0.1415,0.0495,0,0,1
61,0.1342,0.1106,-0.0213,0,0,0
62,0.0127,0.0066,-0.0229,0,0,1
63,-0.0695,-0.0342,-0.0111,0,0,0
64,0.1170,0.1264,0.0015,0,0,0
65,0.1094,0.1337,0.0145,0,0,0
66,0.2621,0.2462,0.0157,0,0,1
67,-0.1260,-0.0039,-0.0358,0,0,0
68,0.0633,0.0438,-0.0298,0,0,1
69,0.0449,-0.0084,0.0356,0,0,1
70,0.1199,-0.0603,0.0148,0,0,0
71,0.2470,0.1692,0.0116,0,0,0
72,0.3306,0.0349,-0.0760,0,0,0
73,-0.2390,0.0613,0.0152,0,0,1
74,0.0415,0.0538,0.0178,0,0,1
75,0.0907,0.1477,0.0069,0,0,0
76,0.1980,0.0912,0.0236,0,0,1
77,0.1399,0.1564,-0.0221,0,0,0
78,-0.0032,0.0019,0.0148,0,0,1
79,-0.0904,0.0095,-0.0541,0,0,1
80,-0.0878,-0.0039,-0.0418,0,0,0
81,-0.0085,0.0445,-0.0541,0,0,1
82,0.1026,0.0211,-0.0418,0,0,0
83,0.0861,0.0061,0.1040,0,0,0
84,0.1524,0.1207,-0.0541,0,0,0
85,0.4547,0.2897,-0.0418,0,0,0
86,0.0399,-0.1021,-0.0006,0,0,1
87,0.4633,0.2047,0.0144,0,0,1
88,0.0180,0.1724,0.0602,0,0,0
89,0.1186,0.1738,0.0471,0,0,0
90,0.0431,0.0987,-0.0276,0,0,0
91,0.2436,0.0834,-0.0262,0,0,1
92,0.0031,0.0204,0.0144,0,0,1
93,0.1069,0.0197,-0.0435,0,0,0
94,0.0425,0.2716,0.0138,0,0,0
95,0.1506,0.0611,0.0491,0,0,0
96,0.0634,0.0054,0.0125,0,0,1
97,-0.1002,0.0810,0.0163,0,0,1
98,0.1086,0.0827,0.0164,0,0,0
99,0.0102,-0.0052,-0.0330,0,0,0
100,-0.0393,-0.0624,0.0726,0,0,1
